post_number,platform,post_id,schedule_ct,schedule_utc,image_path
12,facebook,69b47348d32cb875d38c6ea1,2026-03-31 09:12 AM,2026-03-31T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_12_branded_v3.png
12,instagram,69b47348d32cb8a2ee8c6f28,2026-03-31 12:18 PM,2026-03-31T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_12_branded_v3.png
12,linkedin,69b473499874e0d12f6ecd8e,2026-04-01 08:42 AM,2026-04-01T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_12_branded_v3.png
13,facebook,69b4734a9874e0416b6ecf8f,2026-04-01 09:12 AM,2026-04-01T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_13_branded_v3.png
13,instagram,69b4734ab6586b7febdba16a,2026-04-01 12:18 PM,2026-04-01T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_13_branded_v3.png
13,linkedin,69b4734bd32cb8508d8c738d,2026-04-02 08:42 AM,2026-04-02T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_13_branded_v3.png
14,facebook,69b4734cd32cb8f3fa8c74f2,2026-04-02 09:12 AM,2026-04-02T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_14_branded_v3.png
14,instagram,69b4734d6a32913ebabb9bca,2026-04-02 12:18 PM,2026-04-02T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_14_branded_v3.png
14,linkedin,69b4734d6a32915b33bb9c15,2026-04-03 08:42 AM,2026-04-03T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_14_branded_v3.png
15,facebook,69b4734e6a32914e6dbb9ced,2026-04-03 09:12 AM,2026-04-03T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_15_branded_v3.png
15,instagram,69b4734ec036db633da72929,2026-04-03 12:18 PM,2026-04-03T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_15_branded_v3.png
15,linkedin,69b4734ee919ca9e3597fc42,2026-04-06 08:42 AM,2026-04-06T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_15_branded_v3.png
16,facebook,69b4734f6585e9ec0b68a230,2026-04-06 09:12 AM,2026-04-06T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_16_branded_v3.png
16,instagram,69b4735036bd52a97d313aa5,2026-04-06 12:18 PM,2026-04-06T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_16_branded_v3.png
16,linkedin,69b473504e84c93245b179d6,2026-04-07 08:42 AM,2026-04-07T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_16_branded_v3.png
17,facebook,69b47351f3b7220e8919308e,2026-04-07 09:12 AM,2026-04-07T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_17_branded_v3.png
17,instagram,69b473514e84c93ceeb17bf5,2026-04-07 12:18 PM,2026-04-07T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_17_branded_v3.png
17,linkedin,69b47352d32cb862998c7b0f,2026-04-08 08:42 AM,2026-04-08T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_17_branded_v3.png
18,facebook,69b473526585e983ba68a72e,2026-04-08 09:12 AM,2026-04-08T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_18_branded_v3.png
18,instagram,69b473539874e028a06edcce,2026-04-08 12:18 PM,2026-04-08T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_18_branded_v3.png
18,linkedin,69b47353d32cb8c0698c7dbe,2026-04-09 08:42 AM,2026-04-09T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_18_branded_v3.png
19,facebook,69b47354d32cb822ab8c7eb4,2026-04-09 09:12 AM,2026-04-09T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_19_branded_v3.png
19,instagram,69b473560eaf228b2d1c864a,2026-04-09 12:18 PM,2026-04-09T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_19_branded_v3.png
19,linkedin,69b473569874e0937f6ee01c,2026-04-10 08:42 AM,2026-04-10T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_19_branded_v3.png
20,facebook,69b473570eaf22509d1c8865,2026-04-10 09:12 AM,2026-04-10T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_20_branded_v3.png
20,instagram,69b473574e84c906ddb18302,2026-04-10 12:18 PM,2026-04-10T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_20_branded_v3.png
20,linkedin,69b473586a32914444bba909,2026-04-13 08:42 AM,2026-04-13T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_20_branded_v3.png
21,facebook,69b473596a32911c17bbaa95,2026-04-13 09:12 AM,2026-04-13T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_21_branded_v3.png
21,instagram,69b473594e84c951e6b184df,2026-04-13 12:18 PM,2026-04-13T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_21_branded_v3.png
21,linkedin,69b473596585e93e4668b0c2,2026-04-14 08:42 AM,2026-04-14T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_21_branded_v3.png
22,facebook,69b4735ab6586b3169dbb4f9,2026-04-14 09:12 AM,2026-04-14T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_22_branded_v3.png
22,instagram,69b4735ad32cb86cf28c85a9,2026-04-14 12:18 PM,2026-04-14T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_22_branded_v3.png
22,linkedin,69b4735bb6586bf6e4dbb5b9,2026-04-15 08:42 AM,2026-04-15T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_22_branded_v3.png
23,facebook,69b4735c9874e0122a6ee692,2026-04-15 09:12 AM,2026-04-15T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_23_branded_v3.png
23,instagram,69b4735c36bd521631314a38,2026-04-15 12:18 PM,2026-04-15T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_23_branded_v3.png
23,linkedin,69b4735c4e84c91bf7b1883f,2026-04-16 08:42 AM,2026-04-16T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_23_branded_v3.png
24,facebook,69b4735d9874e0c1666ee89c,2026-04-16 09:12 AM,2026-04-16T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_24_branded_v3.png
24,instagram,69b4735ed32cb876a78c88c3,2026-04-16 12:18 PM,2026-04-16T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_24_branded_v3.png
24,linkedin,69b4735e6585e9d67e68b58c,2026-04-17 08:42 AM,2026-04-17T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_24_branded_v3.png
25,facebook,69b4735f4e84c90a05b18acd,2026-04-17 09:12 AM,2026-04-17T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_25_branded_v3.png
25,instagram,69b4735f6a32918565bbb104,2026-04-17 12:18 PM,2026-04-17T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_25_branded_v3.png
25,linkedin,69b47360b6586b966edbbbd4,2026-04-20 08:42 AM,2026-04-20T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_25_branded_v3.png
